calibration method,metric,model,comb
temperature scaling,cwECE (WT),0.048000990756238,0.03990704834896316
temperature scaling,cwECE (MT),0.02355830751277051,0.017740096739093825
temperature scaling,cwECE (WNT),0.007952388789762135,0.006318679913888081
temperature scaling,cwECE (MNT),0.004706061824353127,0.002831831729335142
temperature scaling,NLL,0.33872460583506864,0.2994152159424905
ensemble temperature scaling,ECE (W),0.014053890808764565,0.02305527259838952
ensemble temperature scaling,ECE (M),0.011747641899992717,0.022977297719198084
ensemble temperature scaling,cwECE (WT),0.04980378233379184,0.038703786716864114
ensemble temperature scaling,cwECE (MT),0.02544767412949698,0.01622785572104354
ensemble temperature scaling,cwECE (WNT),0.008237737454136557,0.006007941851877049
ensemble temperature scaling,cwECE (MNT),0.005239823159828543,0.002792875179385249
ensemble temperature scaling,NLL,0.34182918989290145,0.30170646767652926
