calibration method,metric,model,comb
temperature scaling,ECE (M),0.011396168663260852,0.010799318777303968
temperature scaling,cwECE (WT),0.04008892868939541,0.02517468816186817
temperature scaling,cwECE (MT),0.02003816017619537,0.011105800513062595
temperature scaling,cwECE (WNT),0.0059655193918302036,0.0036943994935039123
temperature scaling,cwECE (MNT),0.003641539686971053,0.0014088342122709917
temperature scaling,NLL,0.1909860143353863,0.30012149282755496
ensemble temperature scaling,ECE (W),0.010237611197287897,0.01298353221890425
ensemble temperature scaling,ECE (M),0.01187168908531484,0.010556280214975117
ensemble temperature scaling,cwECE (WT),0.04031967954371287,0.024825762795093007
ensemble temperature scaling,cwECE (MT),0.01961347002065606,0.01113222077272547
ensemble temperature scaling,cwECE (WNT),0.005957168399661563,0.003659872825450915
ensemble temperature scaling,cwECE (MNT),0.0038363447148480013,0.0014018774649891645
ensemble temperature scaling,NLL,0.19219765100759817,0.3089773751033962
imax binning,ECE (W),0.006352611876783586,0.013941643132759978
imax binning,ECE (M),0.004052715752391421,0.011597924094891578
imax binning,cwECE (WT),0.03177735182490387,0.023694891783226923
imax binning,cwECE (MT),0.01884053388498574,0.011976814354469754
imax binning,cwECE (WNT),0.005167996169937058,0.0035890563793567797
imax binning,cwECE (MNT),0.003256019571553727,0.0014002339597783565
imax binning,NLL,0.1940264141271471,0.3096153534923088
none,ECE (W),0.027090655386447886,0.014106332953600417
none,ECE (M),0.026310379008452095,0.011693766251034072
none,cwECE (WT),0.043831650554043214,0.02374365735978893
none,cwECE (MT),0.02270516191432216,0.010797611946823441
none,cwECE (WNT),0.007407174642602708,0.003503126249261531
none,cwECE (MNT),0.0031179535917812097,0.0014696912310397838
none,NLL,0.22214484111692498,0.21360035704414368
confusion,ECE (W),0.008473047559771876,0.010630175116225347
confusion,ECE (M),0.012117825320954652,0.007294352254581721
confusion,cwECE (WT),0.012106174448435114,0.024446558179192883
confusion,cwECE (MT),0.012106174448435114,0.01574125065592966
confusion,cwECE (WNT),0.002295994808332165,0.0035758699466739694
confusion,cwECE (MNT),0.0035703414309006505,0.0024461913814716563
confusion,NLL,0.4890681225985085,0.43769641508325186
temperature scaling,ECE (W),0.00872321004753161,0.010620861815463008
temperature scaling,ECE (M),0.013254672879570698,0.007891367746237088
temperature scaling,cwECE (WT),0.03569706578160571,0.02083759812310838
temperature scaling,cwECE (MT),0.012724057799627814,0.00940805166745914
temperature scaling,cwECE (WNT),0.004957835021980219,0.0030720568168053635
temperature scaling,cwECE (MNT),0.0026032375957535975,0.0013399658918133819
temperature scaling,NLL,0.18124600999464197,0.22659881513978125
ensemble temperature scaling,ECE (W),0.0073359884198496905,0.010283627510941295
ensemble temperature scaling,ECE (M),0.013123431495523662,0.007703503406631003
ensemble temperature scaling,cwECE (WT),0.03517869071403177,0.020930601161547983
ensemble temperature scaling,cwECE (MT),0.012994886450114198,0.009336661762550182
ensemble temperature scaling,cwECE (WNT),0.004856404040692429,0.0030794121718455618
ensemble temperature scaling,cwECE (MNT),0.002689420552259024,0.0013418378766146084
ensemble temperature scaling,NLL,0.181101633327491,0.22757123316213398
imax binning,ECE (W),0.0043485715251999875,0.010596220600982996
imax binning,ECE (M),0.00516608344542,0.009930889928528428
imax binning,cwECE (WT),0.02432621499264012,0.020799603096802094
imax binning,cwECE (MT),0.011901123625881341,0.00886502344757073
imax binning,cwECE (WNT),0.0036872275078027677,0.0031401867307708268
imax binning,cwECE (MNT),0.002211185384917743,0.001153519548696485
imax binning,NLL,0.18726268653157566,0.2283066828609683
none,ECE (W),0.026799574583768845,0.014290003767312775
none,ECE (M),0.02547497726480167,0.011950614368034435
none,cwECE (WT),0.049166859801926956,0.025805863723448924
none,cwECE (MT),0.022020724787539254,0.011173734221296699
none,cwECE (WNT),0.007612199910096961,0.003876917071447901
none,cwECE (MNT),0.0030189063796567874,0.0013848051520096737
none,NLL,0.21273063303453907,0.1955532496420535
confusion,ECE (W),0.005948755837345636,0.012950485724157511
confusion,ECE (M),0.010099964829090178,0.012787034485865356
confusion,cwECE (WT),0.010102567906325877,0.027445533025148537
confusion,cwECE (MT),0.010102567906325877,0.013033192746602048
confusion,cwECE (WNT),0.002834335650245522,0.003805431734587722
confusion,cwECE (MNT),0.004179367452003429,0.0022297211172775883
confusion,NLL,0.5493050076197041,0.4719404420097622
temperature scaling,ECE (W),0.010765992017905145,0.01120719246682208
temperature scaling,ECE (M),0.011468372438100246,0.01085261126605409
temperature scaling,cwECE (WT),0.039887926284510294,0.023803257288516535
temperature scaling,cwECE (MT),0.01443565184591005,0.009147631705049472
temperature scaling,cwECE (WNT),0.0057835689357870305,0.0034523589475047452
temperature scaling,cwECE (MNT),0.002824670226873427,0.0013577794705440498
temperature scaling,NLL,0.18231181988772496,0.21840995742126884
ensemble temperature scaling,ECE (W),0.013332967306835728,0.011078394103185053
ensemble temperature scaling,ECE (M),0.010885650958826341,0.01067533835545354
ensemble temperature scaling,cwECE (WT),0.040040239454660766,0.02427972410204152
ensemble temperature scaling,cwECE (MT),0.014044488534326377,0.008868154686526446
ensemble temperature scaling,cwECE (WNT),0.005834064903436751,0.0034869196862763697
ensemble temperature scaling,cwECE (MNT),0.0029632623688043017,0.001394807506437677
